"","V1"
"inaug_JamesMadison_1_20",12
"inaug_JamesMadison_1_21",4
"inaug_JamesMadison_1_22",4
"inaug_JamesMadison_1_23",4
"inaug_JamesMadison_1_24",4
"inaug_JamesMadison_1_25",14
"inaug_JamesMadison_1_26",14
"inaug_JamesMadison_1_27",2
"inaug_JamesMadison_1_28",11
"inaug_JamesMadison_1_29",11
"inaug_JamesMadison_1_30",11
"inaug_JamesMadison_1_31",2
"inaug_JamesMadison_1_32",2
"inaug_JamesMadison_1_33",2
"inaug_JamesMadison_1_34",2
"inaug_JamesMadison_1_35",2
"inaug_JamesMadison_1_36",2
"inaug_JamesMadison_2_2",2
"inaug_JamesMadison_2_3",2
"inaug_JamesMadison_2_4",2
"inaug_JamesMadison_2_5",2
"inaug_JamesMadison_2_6",5
"inaug_JamesMadison_2_7",4
"inaug_JamesMadison_2_8",4
"inaug_JamesMadison_2_9",4
"inaug_JamesMadison_2_10",4
"inaug_JamesMadison_2_11",14
"inaug_JamesMadison_2_12",2
"inaug_JamesMadison_2_13",14
"inaug_JamesMadison_2_14",14
"inaug_JamesMadison_2_15",2
"inaug_JamesMadison_2_16",11
"inaug_JamesMadison_2_17",11
"inaug_JamesMadison_2_18",11
"inaug_JamesMadison_2_19",11
"inaug_JamesMadison_2_20",11
"inaug_JamesMadison_2_21",11
"inaug_JamesMadison_2_22",11
"inaug_JamesMadison_2_23",11
"inaug_JamesMadison_2_24",2
"inaug_JamesMadison_2_25",2
"inaug_JamesMadison_2_26",9
"inaug_JamesMadison_2_27",5
"inaug_JamesMadison_2_28",2
"inaug_JamesMadison_2_29",1
"inaug_JamesMadison_2_30",14
"inaug_JamesMadison_2_31",14
"inaug_JamesMadison_2_32",1
"inaug_JamesMadison_2_33",1
"inaug_JamesMadison_2_34",1
"inaug_JamesMadison_2_35",2
"inaug_JamesMadison_2_36",2
"inaug_JamesMadison_2_37",2
"inaug_JamesMadison_2_38",2
"inaug_JamesMonroe_1_2",2
